Title,Year,Town,Address,Starring,Description,Box Office Gross,Adjusted for Inflation,URL,Longitude,Latitude
Star Trek,2009,Barre,"560 Graniteville Rd, Graniteville, VT 05654",Chris Pine,Rock of Ages,385680446,510045882,https://www.imdb.com/title/tt0796366/?ref_=fn_al_tt_2,-72.49140703,44.15663099
Forrest Gump,1993,Reading,"1279-1163, Jenne Rd, Reading, VT 05062",Tom Hanks,Jenne Farm,679838260,1334816552,https://www.imdb.com/title/tt0109830/?ref_=fn_al_tt_1,-72.55998237,43.52355071
Beetle Juice,1988,East Cornith,"1 Chicken Farm Rd, East Corinth, VT 05040",Michael Keaton,Bridge on Chicken Farm Rd,74714298,179185475,https://www.imdb.com/title/tt0094721/?ref_=nv_sr_srsg_0,-72.22222263,44.06400175
Baby Boom,1987,Peru,"Baby Boom House, Peru, VT 05152",Diane Keaton,Diane Keaton movie,26712476,66714409,https://www.imdb.com/title/tt0092605/?ref_=fn_al_tt_1,-72.8784435,43.2348662
The Four Seasons,1981,Stowe,"434 Edson Hill Rd, Stowe, VT 05672",Alan Alda,Stowehof Inn,50427646,157394170,https://www.imdb.com/title/tt0082405/?ref_=fn_al_tt_1,-72.725772,44.494512
Funny Farm,1988,Townshend,"198 Fire Pond Road, Grafton, Vt 05146",Chevy Chase,Chevy Chase movie,25537221,61245293,https://www.imdb.com/title/tt0095188/?ref_=fn_al_tt_1,-72.61936198,43.17464501
"Me, Myself & Irene",2000,Waterbury,"1281 Waterbury-Stowe Rd Route 100, Waterbury Village Historic District, VT 05676",Jim Carrey,Multiple filming location,149270999,245938274,https://www.imdb.com/title/tt0183505/?ref_=fn_al_tt_3,-72.74011997,44.35293399
Ethan Frome,1993,Peachem,"656 Bayley Hazen Rd PO Box 253 Peacham, VT 05862",Liam Neeson,Liam Neeson Movie,296081,581335,https://www.imdb.com/title/tt0106833/?ref_=fn_al_tt_1,-72.17036597,44.32900499
The Spitfire Grill,1996,Peachem,"643 Bayley Hazen Road, Peacham, Vermont 05862",Marcia Gay Harden,Won award at Sundance,12658486,22889834,https://www.imdb.com/title/tt0117718/?ref_=nv_sr_srsg_0,-72.17072597,44.32867299
The Cider House Rules,1999,Bellows Falls,"54 Depot St, Bellows Falls, VT 05101",Tobey Maguire,Railroad station and adjacent buildings,88545092,150790272,https://www.imdb.com/title/tt0124315/?ref_=fn_al_tt_1,-72.44453383,43.13622786
What Lies Beneath,1999,West Addison,"6750 VT-17, Addison, VT 05491",Harrison Ford,Border of Lake Champlain,291420351,496282211,https://www.imdb.com/title/tt0161081/?ref_=fn_al_tt_1,-73.4122274,44.05345188
Sweet Hearts Dance,1988,Hyde Park,"E Main St, Hyde Park, VT 05655",Jeff Daniels,Brendon Mullins' house,3790493,9090647,https://www.imdb.com/title/tt0096200/?ref_=fn_al_tt_2,-72.60965772,44.59154058
Wolf,1994,Buels Gore,Chittenden County ,Jack Nicholson,Jack Nicholson Movie,131002597,250793069,https://www.imdb.com/title/tt0111742/?ref_=fn_al_tt_2,-73.05404973,44.45799511